Ada
"93,748"
"75,676"
100%
Canyon
"46,755"
"16,683"
100%
Kootenai
"44,449"
"16,264"
100%
Bonneville
"26,699"
"8,930"
100%
Bannock
"17,180"
"10,342"
100%
Twin Falls
"21,063"
"6,844"
100%
Latah
"7,255"
"8,093"
100%
Nez Perce
"10,699"
"4,828"
100%
Bonner
"10,220"
"5,140"
100%
Bingham
"10,907"
"2,924"
100%
Madison
"8,941"
"1,201"
100%
Jefferson
"8,436"
976
100%
Blaine
"3,340"
"6,416"
100%
Jerome
"7,347"
"2,117"
100%
Elmore
"5,816"
"1,814"
100%
Idaho County
"6,441"
"1,196"
100%
Cassia
"5,949"
"1,036"
100%
Gem
"5,980"
"1,229"
100%
Minidoka
"4,887"
"1,167"
100%
Fremont
"4,091"
651
100%
Payette
"4,306"
892
100%
Franklin
"3,901"
385
100%
Valley
"2,906"
"1,913"
100%
Gooding
"3,743"
930
100%
Boundary
"3,789"
933
100%
Shoshone
"3,297"
"1,384"
100%
Teton
"2,161"
"2,157"
100%
Washington
"3,283"
776
100%
Benewah
"3,101"
780
100%
Lemhi
"3,011"
733
100%
Owyhee
"3,052"
591
100%
Boise
"2,673"
777
100%
Clearwater
"2,852"
704
100%
Caribou
"2,275"
271
100%
Bear Lake
"2,203"
255
100%
Power
"1,666"
699
100%
Custer
"1,777"
427
100%
Adams
"1,556"
415
100%
Oneida
"1,531"
184
100%
Lincoln
"1,184"
360
100%
Lewis
"1,202"
270
100%
Butte
914
160
100%
Camas
410
110
100%
Clark
203
44
100%
