Boston
"216,754"
"37,756"
100%
Worcester
"42,534"
"17,634"
100%
Springfield
"38,235"
"10,890"
100%
Cambridge
"44,835"
"3,262"
100%
Newton
"35,395"
"7,644"
100%
Quincy
"25,298"
"13,297"
100%
Somerville
"32,903"
"4,064"
100%
Lowell
"23,186"
"10,495"
100%
Brockton
"25,075"
"8,707"
100%
New Bedford
"20,749"
"10,319"
100%
Lynn
"21,841"
"9,174"
100%
Plymouth
"15,323"
"14,168"
100%
Fall River
"17,272"
"10,792"
100%
Framingham
"20,277"
"7,031"
100%
Medford
"20,037"
"7,561"
100%
Weymouth
"15,278"
"11,951"
100%
Haverhill
"15,104"
"11,809"
100%
Brookline
"23,913"
"3,137"
100%
Peabody
"14,385"
"12,029"
100%
Arlington
"20,159"
"4,625"
100%
Waltham
"17,103"
"7,494"
100%
Barnstable
"12,862"
"11,142"
100%
Lawrence
"19,689"
"3,517"
100%
Chicopee
"12,332"
"9,837"
100%
Taunton
"12,143"
"9,868"
100%
Methuen
"11,563"
"10,162"
100%
Malden
"15,759"
"5,536"
100%
Billerica
"10,016"
"10,282"
100%
Beverly
"13,046"
"6,878"
100%
Salem
"14,743"
"5,417"
100%
Attleboro
"10,304"
"8,437"
100%
Woburn
"10,746"
"8,271"
100%
Pittsfield
"13,767"
"4,736"
100%
Braintree
"10,317"
"8,356"
100%
Chelmsford
"10,529"
"7,596"
100%
Revere
"11,870"
"6,877"
100%
Leominster
"9,793"
"8,180"
100%
Falmouth
"11,107"
"7,055"
100%
Natick
"13,203"
"4,863"
100%
Andover
"11,019"
"6,478"
100%
Westfield
"8,172"
"8,962"
100%
Shrewsbury
"10,501"
"6,786"
100%
Lexington
"13,895"
"3,278"
100%
Watertown
"12,942"
"3,891"
100%
Needham
"12,788"
"4,017"
100%
Marlborough
"10,532"
"5,938"
100%
Franklin
"9,465"
"6,990"
100%
Tewksbury
"7,511"
"8,372"
100%
Holyoke
"11,607"
"4,014"
100%
Melrose
"10,548"
"4,791"
100%
Dartmouth
"8,511"
"6,705"
100%
Northampton
"13,200"
"1,870"
100%
Gloucester
"9,714"
"5,345"
100%
Dracut
"6,626"
"8,319"
100%
Milton
"10,653"
"4,281"
100%
North Andover
"8,350"
"6,308"
100%
Norwood
"8,902"
"5,657"
100%
Marshfield
"7,288"
"7,190"
100%
Wakefield
"8,274"
"6,059"
100%
Fitchburg
"8,491"
"5,545"
100%
Danvers
"7,681"
"6,464"
100%
Randolph
"11,362"
"3,070"
100%
Reading
"8,673"
"5,318"
100%
North Attleborough
"6,979"
"6,644"
100%
Agawam
"6,208"
"7,421"
100%
Amherst
"12,030"
"1,233"
100%
Belmont
"10,233"
"3,102"
100%
Saugus
"6,319"
"7,252"
100%
Wellesley
"10,170"
"3,176"
100%
Dedham
"8,550"
"4,765"
100%
Stoughton
"8,396"
"4,910"
100%
Walpole
"7,129"
"5,981"
100%
Hingham
"8,305"
"4,771"
100%
Everett
"9,439"
"3,932"
100%
Yarmouth
"7,238"
"5,813"
100%
Burlington
"7,551"
"5,413"
100%
Westford
"7,760"
"4,657"
100%
Milford
"7,325"
"5,231"
100%
Stoneham
"6,904"
"5,225"
100%
Mansfield
"6,826"
"5,054"
100%
Bridgewater
"5,670"
"6,244"
100%
Marblehead
"8,108"
"3,759"
100%
Canton
"7,161"
"4,670"
100%
Sandwich
"5,958"
"5,836"
100%
Acton
"9,096"
"2,536"
100%
Middleborough
"4,772"
"6,536"
100%
Winchester
"7,766"
"3,634"
100%
West Springfield
"5,710"
"5,537"
100%
Easton
"5,845"
"5,190"
100%
Scituate
"6,510"
"4,457"
100%
Newburyport
"7,404"
"3,125"
100%
Wareham
"5,343"
"5,046"
100%
Holden
"5,553"
"4,602"
100%
Concord
"8,246"
"1,948"
100%
Bourne
"4,782"
"5,157"
100%
Hudson
"5,997"
"3,770"
100%
Sudbury
"7,257"
"2,479"
100%
Pembroke
"4,616"
"4,905"
100%
Ludlow
"4,483"
"5,098"
100%
Sharon
"7,096"
"2,419"
100%
Foxborough
"5,094"
"4,157"
100%
Somerset
"4,872"
"4,548"
100%
Grafton
"5,333"
"3,872"
100%
Easthampton
"6,210"
"2,954"
100%
Winthrop
"5,193"
"3,851"
100%
Duxbury
"5,012"
"3,837"
100%
Norton
"4,474"
"4,361"
100%
Chelsea
"7,395"
"1,558"
100%
Westborough
"5,911"
"2,721"
100%
Longmeadow
"5,272"
"3,433"
100%
Rockland
"4,342"
"4,285"
100%
Dennis
"4,887"
"3,751"
100%
East Longmeadow
"4,086"
"4,440"
100%
Westwood
"5,273"
"3,203"
100%
Westport
"4,340"
"4,275"
100%
Amesbury
"5,122"
"3,197"
100%
South Hadley
"5,175"
"3,254"
100%
Auburn
"4,408"
"3,936"
100%
Ashland
"5,638"
"2,751"
100%
Hopkinton
"5,358"
"2,911"
100%
North Reading
"4,283"
"3,986"
100%
Mashpee
"4,448"
"3,839"
100%
Bellingham
"4,027"
"4,056"
100%
Northborough
"5,085"
"2,959"
100%
Swansea
"3,894"
"4,329"
100%
Abington
"4,075"
"3,989"
100%
Fairhaven
"4,259"
"3,824"
100%
Swampscott
"5,503"
"2,581"
100%
Gardner
"4,163"
"3,528"
100%
Hanover
"3,705"
"4,248"
100%
Ipswich
"4,820"
"2,964"
100%
Holliston
"5,228"
"2,547"
100%
Greenfield
"5,546"
"2,094"
100%
Harwich
"4,530"
"3,290"
100%
Wilbraham
"3,742"
"4,009"
100%
Wayland
"6,043"
"1,679"
100%
Belchertown
"4,366"
"3,140"
100%
Northbridge
"3,376"
"3,939"
100%
Bedford
"5,085"
"2,211"
100%
East Bridgewater
"3,157"
"4,064"
100%
Whitman
"3,379"
"3,800"
100%
Seekonk
"3,659"
"3,563"
100%
Wilmington
"3,291"
"3,852"
100%
Raynham
"3,316"
"3,800"
100%
Uxbridge
"3,254"
"3,694"
100%
Kingston
"3,471"
"3,579"
100%
Medway
"4,000"
"2,945"
100%
Medfield
"4,409"
"2,400"
100%
Lynnfield
"3,122"
"3,739"
100%
Webster
"3,110"
"3,570"
100%
Charlton
"2,708"
"3,855"
100%
Millbury
"3,138"
"3,432"
100%
Clinton
"3,707"
"2,715"
100%
Oxford
"2,736"
"3,572"
100%
Southbridge
"3,712"
"2,582"
100%
Rehoboth
"2,768"
"3,562"
100%
Tyngsborough
"3,058"
"3,163"
100%
Brewster
"3,813"
"2,370"
100%
Pepperell
"2,929"
"3,096"
100%
Groton
"3,863"
"2,133"
100%
Wrentham
"3,025"
