St. Louis County
"199,081"
"280,866"
100%
Jackson
"114,777"
"163,723"
100%
St. Charles
"120,899"
"68,225"
100%
Greene
"77,387"
"42,400"
100%
St. Louis City
"20,281"
"101,487"
100%
Clay
"57,328"
"45,182"
100%
Jefferson
"68,973"
"31,546"
100%
Boone
"36,146"
"41,072"
100%
Cass
"33,006"
"14,816"
100%
Franklin
"35,420"
"12,339"
100%
Jasper
"35,058"
"10,565"
100%
Platte
"24,975"
"18,915"
100%
Christian
"30,941"
"8,505"
100%
Cole
"24,610"
"10,907"
100%
Cape Girardeau
"26,939"
"8,468"
100%
Buchanan
"21,315"
"12,010"
100%
Newton
"20,546"
"4,988"
100%
Lincoln
"18,111"
"5,561"
100%
St. Francois
"17,467"
"6,250"
100%
Taney
"18,240"
"4,367"
100%
Camden
"16,721"
"4,706"
100%
Johnson
"13,702"
"5,924"
100%
Callaway
"13,052"
"4,988"
100%
Phelps
"12,699"
"4,761"
100%
Pettis
"12,792"
"4,322"
100%
Howell
"13,888"
"2,880"
100%
Scott
"13,168"
"3,574"
100%
Butler
"13,647"
"3,036"
100%
Pulaski
"9,870"
"2,918"
89%
Webster
"12,829"
"3,173"
100%
Lawrence
"13,084"
"2,898"
100%
Stone
"13,149"
"2,886"
100%
LaClede
"12,834"
"2,543"
100%
Lafayette
"10,977"
"4,047"
100%
Warren
"11,109"
"3,915"
100%
Barry
"11,427"
"2,710"
100%
Polk
"10,435"
"2,630"
100%
Stoddard
"11,077"
"1,873"
100%
Marion
"9,418"
"2,993"
100%
Miller
"9,285"
"1,750"
100%
Texas
"8,875"
"1,728"
100%
Ray
"7,103"
"3,088"
100%
Dunklin
"8,026"
"2,360"
100%
Randolph
"7,529"
"2,283"
100%
Clinton
"7,058"
"2,572"
100%
Adair
"6,019"
"3,495"
100%
Audrain
"6,981"
"2,567"
100%
Crawford
"7,724"
"1,824"
100%
Henry
"7,072"
"2,356"
100%
Benton
"7,212"
"2,024"
100%
Nodaway
"6,379"
"2,529"
100%
Washington
"7,047"
"1,926"
100%
Saline
"5,977"
"2,787"
100%
Andrew
"6,665"
"2,045"
100%
Morgan
"6,757"
"1,768"
100%
Perry
"6,907"
"1,520"
100%
Vernon
"6,526"
"1,706"
100%
Ste. Genevieve
"5,495"
"2,540"
100%
McDonald
"6,599"
"1,329"
100%
Wright
"6,703"
"1,166"
100%
Bates
"6,000"
"1,617"
100%
Cooper
"5,623"
"1,932"
100%
Macon
"5,794"
"1,518"
100%
Gasconade
"5,670"
"1,519"
100%
Dallas
"5,895"
"1,271"
100%
Pike
"5,274"
"1,806"
100%
New Madrid
"5,270"
"1,933"
100%
Osage
"5,845"
998
100%
Moniteau
"5,344"
"1,237"
100%
Dent
"5,599"
978
100%
Douglas
"5,486"
984
100%
Livingston
"4,879"
"1,265"
100%
Cedar
"5,019"
"1,010"
100%
Pemiscot
"3,964"
"1,946"
100%
Barton
"4,958"
795
100%
Wayne
"4,640"
946
100%
Bollinger
"4,827"
705
100%
Linn
"4,084"
"1,239"
100%
Ripley
"4,520"
830
100%
Montgomery
"4,124"
"1,118"
100%
Madison
"4,102"
"1,005"
100%
Ralls
"3,969"
"1,138"
100%
Mississippi
"3,600"
"1,458"
100%
Howard
"3,277"
"1,279"
100%
Hickory
"3,539"
"1,016"
100%
Oregon
"3,668"
865
100%
St. Clair
"3,501"
936
100%
DeKalb
"3,540"
824
100%
Ozark
"3,639"
724
100%
Maries
"3,559"
794
100%
Lewis
"3,343"
933
100%
Grundy
"3,462"
780
100%
Carroll
"3,480"
745
100%
Caldwell
"3,231"
837
100%
Iron
"3,173"
933
100%
Monroe
"3,159"
853
100%
Chariton
"2,948"
888
100%
Dade
"3,184"
637
100%
Shannon
"2,966"
776
100%
Daviess
"2,763"
730
100%
Harrison
"2,965"
574
100%
Clark
"2,458"
724
100%
Shelby
"2,524"
606
100%
Gentry
"2,304"
605
100%
Reynolds
"2,402"
540
100%
Carter
"2,323"
436
100%
Atchison
"2,059"
541
100%
Sullivan
"1,884"
526
100%
Holt
"1,926"
346
100%
Putnam
"1,936"
352
100%
Scotland
"1,525"
365
100%
Schuyler
"1,505"
354
100%
Knox
"1,413"
379
100%
Mercer
"1,486"
216
100%
Worth
808
195
100%
