El Paso
"105,807"
"176,506"
100%
Jefferson
"151,885"
"130,233"
100%
Arapahoe
"148,365"
"109,638"
100%
Denver
"174,611"
"43,637"
100%
Larimer
"92,170"
"82,624"
100%
Douglas
"67,045"
"100,178"
100%
Boulder
"124,715"
"38,766"
100%
Adams
"86,471"
"73,807"
100%
Weld
"45,869"
"75,882"
100%
Mesa
"20,958"
"48,129"
100%
Pueblo
"27,945"
"27,746"
100%
Broomfield
"19,530"
"14,272"
100%
La Plata
"15,300"
"12,471"
100%
Garfield
"11,205"
"13,071"
100%
Eagle
"12,652"
"8,153"
100%
Fremont
"5,275"
"15,066"
100%
Montrose
"5,438"
"14,303"
100%
Delta
"4,048"
"11,584"
100%
Summit
"9,502"
"5,064"
100%
Elbert
"3,056"
"11,536"
100%
Teller
"3,547"
"9,580"
100%
Routt
"7,487"
"5,149"
100%
Montezuma
"3,920"
"7,771"
100%
Morgan
"3,128"
"8,104"
100%
Chaffee
"4,773"
"5,283"
100%
Pitkin
"7,239"
"2,522"
100%
Park
"3,351"
"6,053"
100%
Logan
"1,843"
"7,272"
100%
Gunnison
"5,068"
"3,250"
100%
Grand
"3,319"
"4,467"
100%
Archuleta
"2,489"
"4,234"
100%
Alamosa
"3,168"
"3,031"
100%
Las Animas
"2,614"
"3,656"
100%
Moffat
874
"5,293"
100%
Clear Creek
"2,585"
"2,426"
100%
Rio Grande
"1,985"
"3,060"
100%
Otero
"1,719"
"2,988"
100%
Prowers
"1,173"
"3,508"
100%
Yuma
701
"3,755"
100%
San Miguel
"2,960"
"1,030"
100%
Conejos
"1,753"
"1,885"
100%
Huerfano
"1,631"
"1,875"
100%
Kit Carson
526
"2,894"
100%
Gilpin
"1,634"
"1,564"
100%
Rio Blanco
433
"2,782"
100%
Ouray
"1,690"
"1,337"
100%
Lake
"1,600"
"1,264"
100%
Custer
797
"2,059"
100%
Washington
289
"2,284"
100%
Saguache
"1,345"
"1,109"
100%
Lincoln
399
"1,873"
100%
Phillips
436
"1,791"
100%
Baca
278
"1,716"
100%
Bent
581
"1,166"
100%
Costilla
"1,109"
581
100%
Crowley
336
"1,069"
100%
Sedgwick
267
"1,015"
100%
Dolores
227
936
100%
Cheyenne
127
905
100%
Jackson
171
628
100%
Kiowa
91
726
100%
Mineral
237
344
100%
Hinsdale
197
339
100%
San Juan
265
215
100%
