Pulaski
"61,182"
"89,377"
100%
Mobile
"60,751"
"27,894"
100%
Washington
"40,418"
"32,296"
100%
Saline
"35,852"
"13,247"
100%
Faulkner
"29,170"
"14,525"
100%
Sebastian
"28,769"
"12,184"
100%
Garland
"26,053"
"12,283"
100%
Craighead
"22,798"
"10,474"
100%
White
"21,038"
"5,157"
100%
Lonoke
"19,902"
"5,638"
100%
Jefferson
"9,231"
"15,721"
100%
Crawford
"16,655"
"4,476"
100%
Pope
"15,694"
"4,818"
100%
Baxter
"14,655"
"4,163"
100%
Union
"10,201"
"5,667"
100%
Boone
"12,225"
"2,925"
100%
Miller
"11,293"
"4,273"
100%
Crittenden
"6,953"
"8,368"
100%
Greene
"10,698"
"3,056"
100%
Independence
"9,925"
"2,878"
100%
Mississippi
"6,988"
"5,621"
100%
Cleburne
"9,454"
"2,101"
100%
Hot Spring
"8,153"
"3,137"
100%
Carroll
"6,773"
"3,334"
100%
Ouachita
"5,347"
"4,320"
100%
Johnson
"6,072"
"2,421"
100%
Columbia
"5,456"
"3,140"
100%
Clark
"4,398"
"3,606"
100%
Polk
"6,606"
"1,210"
100%
Ashley
"5,338"
"2,408"
100%
Conway
"4,844"
"2,655"
100%
Logan
"5,737"
"1,712"
100%
Saint Francis
"3,195"
"4,031"
100%
Sharp
"5,405"
"1,472"
100%
Van Buren
"5,382"
"1,547"
100%
Hempstead
"4,391"
"2,371"
100%
Phillips
"2,443"
"4,292"
100%
Grant
"5,160"
"1,407"
100%
Cross
"4,577"
"1,995"
100%
Madison
"4,917"
"1,587"
100%
Marion
"5,077"
"1,377"
100%
Franklin
"5,034"
"1,376"
100%
Drew
"3,967"
"2,364"
100%
Yell
"4,600"
"1,472"
100%
Randolph
"4,508"
"1,425"
100%
Arkansas
"3,825"
"1,939"
100%
Clay
"3,779"
"1,999"
100%
Lawrence
"4,064"
"1,263"
100%
Stone
"4,081"
"1,189"
100%
Izard
"4,042"
"1,111"
100%
Poinsett
"3,149"
"1,878"
100%
Little River
"3,604"
"1,397"
100%
Jackson
"3,262"
"1,583"
100%
Fulton
"3,470"
"1,067"
100%
Howard
"3,155"
"1,350"
100%
Sevier
"3,281"
"1,075"
100%
Perry
"2,979"
"1,035"
100%
Desha
"1,915"
"2,227"
100%
Chicot
"1,716"
"2,350"
100%
Pike
"3,150"
684
100%
Lincoln
"2,455"
"1,252"
100%
Newton
"2,875"
699
100%
Searcy
"2,955"
601
100%
Bradley
"2,163"
"1,317"
100%
Montgomery
"2,573"
735
100%
Prairie
"2,503"
812
100%
Cleveland
"2,460"
723
100%
Nevada
"2,001"
"1,156"
100%
Scott
"2,378"
507
100%
Lee
"1,229"
"1,735"
100%
Lafayette
"1,750"
"1,028"
100%
Monroe
"1,400"
"1,298"
100%
Dallas
"1,507"
"1,165"
100%
Woodruff
"1,344"
"1,117"
100%
Calhoun
"1,554"
636
100%
