Los Angeles
"1,654,626"
"542,591"
100%
Orange
"413,982"
"371,268"
100%
San Diego
"419,401"
"291,069"
100%
Riverside
"253,215"
"240,013"
100%
San Bernardino
"258,409"
"214,698"
100%
Santa Clara
"360,657"
"104,895"
100%
Alameda
"337,524"
"64,010"
100%
Sacramento
"217,211"
"133,829"
100%
Contra Costa
"231,968"
"87,211"
100%
San Francisco
"238,772"
"27,633"
100%
Ventura
"143,095"
"101,351"
100%
San Mateo
"163,084"
"40,809"
100%
Fresno
"82,863"
"79,858"
100%
Kern
"64,980"
"95,064"
100%
Sonoma
"116,027"
"37,421"
100%
Solano
"87,419"
"45,641"
100%
Santa Barbara
"85,147"
"45,788"
100%
San Joaquin
"71,349"
"56,194"
100%
Stanislaus
"51,171"
"52,567"
100%
San Luis Obispo
"53,911"
"44,981"
100%
Placer
"43,915"
"55,212"
100%
Marin
"69,518"
"14,214"
100%
Santa Cruz
"60,529"
"14,523"
100%
Butte
"31,638"
"35,354"
100%
Monterey
"47,387"
"19,580"
100%
El Dorado
"28,026"
"37,286"
100%
Shasta
"17,483"
"40,447"
100%
Tulare
"23,663"
"33,372"
100%
Yolo
"34,460"
"13,178"
100%
Merced
"21,856"
"18,486"
100%
Madera
"13,283"
"19,221"
100%
Humboldt
"19,596"
"10,883"
100%
Nevada
"16,199"
"14,686"
100%
Napa
"20,454"
"9,335"
100%
Kings
"9,077"
"13,158"
100%
Imperial
"14,331"
"5,607"
100%
Sutter
"7,599"
"10,947"
100%
Calaveras
"6,740"
"11,064"
100%
Tuolumne
"7,075"
"10,614"
100%
Tehama
"5,120"
"11,429"
100%
Yuba
"5,115"
"8,869"
100%
Siskiyou
"5,252"
"8,392"
100%
Lake
"6,240"
"5,752"
100%
San Benito
"6,751"
"4,358"
100%
Mendocino
"6,905"
"3,571"
100%
Amador
"3,420"
"6,069"
100%
Lassen
"2,026"
"6,533"
100%
Plumas
"3,224"
"5,079"
100%
Del Norte
"2,997"
"4,370"
100%
Inyo
"3,067"
"4,128"
100%
Mariposa
"2,568"
"4,317"
100%
Colusa
"2,484"
"3,425"
100%
Glenn
"1,766"
"3,405"
100%
Mono
"2,551"
"1,989"
100%
Trinity
"1,876"
"2,409"
100%
Modoc
798
"2,413"
100%
Sierra
596
"1,044"
100%
Alpine
318
211
100%

"1,716"
"2,350"
100%
Pike
"3,150"
684
100%
Lincoln
"2,455"
"1,252"
100%
Newton
"2,875"
699
100%
Searcy
"2,955"
601
100%
Bradley
"2,163"
"1,317"
100%
Montgomery
"2,573"
735
100%
Prairie
"2,503"
812
100%
Cleveland
"2,460"
723
100%
Nevada
"2,001"
"1,156"
100%
Scott
"2,378"
507
100%
Lee
"1,229"
"1,735"
100%
Lafayette
"1,750"
"1,028"
100%
Monroe
"1,400"
"1,298"
100%
Dallas
"1,507"
"1,165"
100%
Woodruff
"1,344"
"1,117"
100%
Calhoun
"1,554"
636
100%
