Wayne
"228,313"
"517,022"
100%
Oakland
"289,127"
"342,976"
100%
Macomb
"224,589"
"176,238"
100%
Kent
"147,959"
"138,567"
100%
Genesee
"84,174"
"102,744"
100%
Washtenaw
"50,335"
"128,025"
100%
Ottawa
"90,456"
"46,276"
100%
Ingham
"44,354"
"81,266"
100%
Kalamazoo
"51,031"
"67,142"
100%
Livingston
"65,665"
"34,378"
100%
Saginaw
"45,469"
"44,395"
100%
St. Clair
"49,067"
"24,553"
100%
Muskegon
"35,962"
"36,640"
100%
Monroe
"43,255"
"26,859"
100%
Berrien
"38,646"
"29,496"
100%
Jackson
"39,793"
"25,795"
100%
Calhoun
"31,489"
"24,154"
100%
Eaton
"27,608"
"24,534"
100%
Allegan
"33,812"
"17,932"
100%
Bay
"28,327"
"21,641"
100%
Grand Traverse
"27,412"
"20,964"
100%
Lenawee
"26,428"
"16,750"
100%
Lapeer
"30,037"
"12,734"
100%
Midland
"23,877"
"15,655"
100%
Clinton
"21,635"
"16,490"
100%
Shiawassee
"19,232"
"12,547"
100%
Van Buren
"17,890"
"13,258"
100%
Marquette
"14,646"
"16,042"
100%
Barry
"19,197"
"9,109"
100%
Montcalm
"16,907"
"7,874"
100%
Ionia
"16,374"
"8,206"
100%
Tuscola
"17,421"
"7,493"
100%
Isabella
"12,338"
"11,404"
100%
St. Joseph
"14,886"
"7,529"
100%
Cass
"14,241"
"7,270"
100%
Newaygo
"15,174"
"6,212"
100%
Hillsdale
"14,094"
"4,799"
100%
Sanilac
"13,446"
"4,873"
100%
Emmet
"10,616"
"6,972"
100%
Delta
"11,112"
"6,431"
100%
Mecosta
"10,305"
"5,827"
100%
Branch
"11,025"
"4,740"
100%
Gratiot
"9,878"
"5,665"
100%
Huron
"10,629"
"4,579"
100%
Houghton
"8,475"
"6,018"
100%
Chippewa
"9,120"
"5,378"
100%
Wexford
"10,000"
"4,436"
100%
Leelanau
"7,239"
"6,774"
100%
Alpena
"9,090"
"4,877"
100%
Mason
"8,505"
"5,281"
100%
Charlevoix
"8,674"
"5,137"
100%
Cheboygan
"8,680"
"4,302"
100%
Antrim
"8,469"
"4,448"
100%
Clare
"8,507"
"4,250"
100%
Iosco
"8,344"
"4,344"
100%
Dickinson
"8,580"
"3,923"
100%
Roscommon
"8,141"
"4,287"
100%
Manistee
"6,915"
"4,979"
100%
Otsego
"8,266"
"3,556"
100%
Gladwin
"8,124"
"3,794"
100%
Oceana
"7,228"
"3,973"
100%
Menominee
"6,704"
"3,539"
100%
Osceola
"7,336"
"2,705"
100%
Ogemaw
"6,827"
"3,030"
100%
Benzie
"5,539"
"4,108"
100%
Kalkaska
"6,213"
"2,279"
100%
Arenac
"4,704"
"2,238"
100%
Gogebic
"4,019"
"2,925"
100%
Missaukee
"5,386"
"1,565"
100%
Presque Isle
"4,486"
"2,400"
100%
Crawford
"4,354"
"2,110"
100%
Alcona
"4,201"
"1,732"
100%
Mackinac
"3,740"
"2,085"
100%
Iron
"3,675"
"2,004"
100%
Lake
"3,159"
"1,939"
100%
Montmorency
"3,498"
"1,286"
100%
Alger
"2,585"
"1,663"
100%
Schoolcraft
"2,556"
"1,369"
100%
Oscoda
"2,843"
"1,044"
100%
Baraga
"2,158"
"1,156"
100%
Ontonagon
"2,069"
"1,175"
100%
Luce
"1,756"
681
100%
Keweenaw
814
527
100%
