Kanawha
"43,464"
"27,985"
100%
Berkeley
"28,210"
"12,287"
100%
Monongalia
"18,278"
"14,568"
100%
Wood
"25,168"
"8,327"
100%
Cabell
"19,648"
"11,306"
100%
Raleigh
"21,835"
"6,362"
100%
Harrison
"18,687"
"7,675"
100%
Putnam
"17,455"
"5,784"
100%
Jefferson
"13,144"
"9,458"
100%
Mercer
"17,362"
"4,689"
100%
Marion
"14,592"
"6,926"
100%
Ohio
"11,077"
"5,452"
100%
Fayette
"10,263"
"4,246"
100%
Wayne
"11,077"
"3,334"
100%
Greenbrier
"9,499"
"3,743"
100%
Marshall
"9,565"
"2,894"
100%
Hancock
"8,870"
"3,247"
100%
Preston
"9,501"
"2,462"
100%
Logan
"9,866"
"2,082"
100%
Jackson
"8,959"
"2,648"
100%
Mineral
"8,957"
"2,019"
100%
Randolph
"7,583"
"2,724"
100%
Mason
"7,597"
"2,069"
100%
Brooke
"6,574"
"2,549"
100%
Mingo
"7,876"
"1,365"
100%
Nicholas
"7,169"
"1,821"
100%
Upshur
"6,971"
"1,763"
100%
Boone
"6,483"
"1,783"
100%
Hampshire
"6,646"
"1,576"
100%
Wyoming
"6,527"
"1,061"
100%
Morgan
"5,718"
"1,568"
100%
Lincoln
"5,257"
"1,435"
100%
Lewis
"5,245"
"1,336"
100%
Taylor
"4,701"
"1,483"
100%
Wetzel
"4,461"
"1,348"
100%
McDowell
"4,614"
"1,429"
100%
Barbour
"4,509"
"1,213"
100%
Hardy
"4,544"
"1,249"
100%
Monroe
"4,337"
"1,089"
100%
Roane
"3,772"
"1,220"
100%
Braxton
"3,516"
"1,315"
100%
Grant
"4,338"
510
100%
Summers
"3,444"
"1,186"
100%
Ritchie
"3,376"
490
100%
Tyler
"2,967"
505
100%
Pocahontas
"2,474"
924
100%
Tucker
"2,557"
750
100%
Pendleton
"2,388"
726
100%
Pleasants
"2,342"
620
100%
Clay
"2,289"
566
100%
Webster
"2,284"
554
100%
Doddridge
"2,347"
360
100%
Calhoun
"2,023"
456
100%
Gilmer
"1,889"
537
100%
Wirt
"1,903"
383
100%
