Brooklyn
"595,086"
"133,653"
100%
Queens
"473,389"
"138,550"
99%
Suffolk
"276,953"
"328,403"
100%
Manhattan
"515,481"
"58,935"
98%
Nassau
"307,326"
"275,479"
100%
Erie
"192,065"
"173,817"
98%
Westchester
"245,670"
"121,643"
99%
Bronx
"318,403"
"34,424"
100%
Monroe
"174,063"
"128,871"
100%
Onondaga
"102,915"
"78,277"
100%
Staten Island
"67,561"
"95,612"
100%
Orange
"63,037"
"72,129"
100%
Albany
"74,775"
"44,227"
100%
Rockland
"63,454"
"57,148"
100%
Dutchess
"56,874"
"58,163"
100%
Saratoga
"46,546"
"51,088"
100%
Niagara
"32,888"
"49,223"
100%
Oneida
"30,749"
"48,490"
100%
Broome
"35,212"
"38,077"
100%
Ulster
"40,010"
"32,962"
100%
Rensselaer
"30,039"
"31,933"
100%
Schenectady
"30,870"
"27,268"
100%
Chautauqua
"17,281"
"29,418"
100%
Ontario
"20,233"
"24,343"
100%
Putnam
"17,363"
"25,241"
100%
Oswego
"15,614"
"25,870"
100%
Steuben
"11,215"
"25,091"
100%
Tompkins
"25,555"
"9,647"
100%
Wayne
"12,378"
"21,935"
100%
Saint Lawrence
"14,659"
"18,450"
100%
Jefferson
"12,289"
"19,947"
100%
Chemung
"12,394"
"19,025"
100%
Livingston
"10,478"
"19,211"
100%
Cayuga
"12,202"
"16,194"
100%
Cattaraugus
"8,717"
"18,668"
100%
Clinton
"13,446"
"13,181"
100%
Warren
"11,366"
"14,284"
100%
Madison
"10,548"
"14,901"
100%
Columbia
"13,123"
"12,756"
100%
Sullivan
"10,983"
"14,626"
100%
Genesee
"6,946"
"15,986"
100%
Herkimer
"7,289"
"15,664"
100%
Otsego
"9,285"
"12,284"
100%
Washington
"8,238"
"12,770"
100%
Tioga
"6,852"
"12,528"
100%
Fulton
"5,805"
"12,759"
100%
Greene
"6,370"
"11,546"
100%
Cortland
"7,976"
"9,207"
100%
Chenango
"5,943"
"11,024"
100%
Delaware
"5,825"
"11,012"
100%
Montgomery
"5,961"
"10,579"
100%
Allegany
"4,473"
"11,712"
100%
Orleans
"4,327"
"11,582"
100%
Wyoming
"3,585"
"11,884"
100%
Franklin
"6,517"
"7,636"
100%
Essex
"6,760"
"7,275"
100%
Seneca
"5,175"
"6,719"
100%
Schoharie
"3,777"
"8,173"
100%
Lewis
"2,828"
"6,916"
100%
Yates
"3,219"
"5,180"
100%
Schuyler
"2,761"
"5,179"
100%
Hamilton
752
"1,795"
100%
