Cass
"39,738"
"31,291"
100%
Burleigh
"32,499"
"10,865"
100%
Grand Forks
"16,325"
"10,828"
100%
Ward
"18,601"
"5,792"
100%
Morton
"11,319"
"3,077"
100%
Williams
"10,033"
"1,722"
100%
Stark
"9,718"
"1,745"
100%
Stutsman
"6,706"
"2,484"
100%
Richland
"4,759"
"2,064"
100%
Barnes
"3,156"
"1,597"
100%
Ramsey
"3,216"
"1,505"
100%
McLean
"3,827"
"1,070"
100%
McKenzie
"3,661"
696
100%
Mercer
"3,715"
616
100%
Walsh
"2,991"
"1,166"
100%
Mountrail
"2,551"
"1,211"
100%
Traill
"2,263"
"1,239"
100%
Rolette
"1,210"
"2,097"
100%
Bottineau
"2,482"
734
100%
Pembina
"2,204"
681
100%
McHenry
"1,991"
474
100%
Dickey
"1,656"
551
100%
Wells
"1,793"
419
100%
Ransom
"1,209"
836
100%
Dunn
"1,753"
356
100%
LaMoure
"1,475"
500
100%
Pierce
"1,433"
431
100%
Sargent
"1,088"
693
100%
Cavalier
"1,356"
476
100%
Emmons
"1,672"
215
100%
Benson
927
842
100%
Bowman
"1,445"
227
100%
Foster
"1,237"
346
100%
Nelson
"1,025"
536
100%
McIntosh
"1,095"
233
100%
Grant
"1,098"
187
100%
Kidder
"1,106"
179
100%
Hettinger
"1,032"
168
100%
Renville
978
200
100%
Griggs
847
298
100%
Eddy
790
354
100%
Adams
904
216
100%
Divide
860
243
100%
Sioux
256
758
100%
Towner
733
305
100%
Burke
879
118
100%
Logan
867
112
100%
Oliver
827
119
100%
Steele
537
361
100%
Golden Valley
793
99
100%
Sheridan
644
94
100%
Billings
492
58
100%
Slope
361
42
100%
