Greenville
"125,595"
"73,338"
100%
Charleston
"75,233"
"89,048"
100%
Richland
"52,753"
"108,401"
100%
Horry
"83,819"
"36,731"
100%
Lexington
"79,866"
"35,143"
100%
Spartanburg
"76,101"
"39,888"
100%
York
"66,245"
"41,230"
100%
Anderson
"56,109"
"21,040"
100%
Berkeley
"44,223"
"30,492"
100%
Aiken
"45,981"
"25,426"
100%
Beaufort
"39,986"
"29,577"
100%
Dorchester
"34,932"
"24,010"
100%
Florence
"29,498"
"26,630"
100%
Pickens
"36,096"
"10,327"
100%
Sumter
"18,733"
"24,024"
100%
Orangeburg
"11,909"
"26,258"
100%
Lancaster
"23,598"
"13,718"
100%
Oconee
"24,096"
"7,979"
100%
Georgetown
"17,334"
"13,234"
100%
Darlington
"14,973"
"13,866"
100%
Kershaw
"17,464"
"10,293"
100%
Greenwood
"16,881"
"10,633"
100%
Laurens
"16,770"
"8,845"
100%
Cherokee
"15,165"
"6,089"
100%
Colleton
"9,083"
"7,616"
100%
Chesterfield
"9,576"
"7,125"
100%
Newberry
"10,011"
"6,212"
100%
Clarendon
"7,246"
"7,635"
100%
Williamsburg
"4,863"
"9,949"
100%
Marion
"5,434"
"8,522"
100%
Jasper
"6,100"
"7,789"
100%
Chester
"7,272"
"6,582"
100%
Union
"7,058"
"4,727"
100%
Dillon
"5,637"
"5,832"
100%
Edgefield
"6,842"
"4,491"
100%
Fairfield
"4,024"
"6,936"
100%
Abbeville
"6,742"
"3,712"
100%
Marlboro
"4,257"
"5,928"
100%
Barnwell
"4,888"
"4,395"
100%
Hampton
"3,483"
"5,163"
100%
Saluda
"5,525"
"2,809"
100%
Lee
"2,789"
"5,170"
100%
Calhoun
"3,785"
"3,569"
100%
Bamberg
"2,197"
"3,886"
100%
McCormick
"2,651"
"2,479"
100%
Allendale
788
"2,722"
100%
