Jefferson
"143,758"
"190,824"
100%
Fayette
"56,890"
"69,776"
100%
Kenton
"42,958"
"24,213"
100%
Boone
"39,082"
"15,026"
100%
Warren
"28,673"
"16,966"
100%
Daviess
"28,907"
"14,163"
100%
Hardin
"26,970"
"13,944"
100%
Campbell
"25,050"
"14,658"
100%
Madison
"23,431"
"11,793"
100%
Bullitt
"26,210"
"8,255"
100%
Oldham
"20,469"
"10,268"
100%
McCracken
"20,774"
"9,134"
100%
Pulaski
"22,900"
"4,208"
100%
Laurel
"20,592"
"3,440"
100%
Pike
"19,740"
"4,277"
100%
Scott
"15,052"
"7,713"
100%
Franklin
"11,819"
"10,717"
100%
Jessamine
"15,474"
"6,144"
100%
Christian
"14,108"
"7,188"
100%
Nelson
"13,430"
"6,434"
100%
Shelby
"13,196"
"6,276"
100%
Boyd
"13,591"
"6,021"
100%
Hopkins
"15,277"
"4,310"
100%
Henderson
"12,159"
"6,707"
100%
Barren
"13,483"
"4,275"
100%
Marshall
"12,322"
"3,672"
100%
Graves
"12,671"
"3,308"
100%
Floyd
"11,993"
"4,015"
100%
Greenup
"11,546"
"4,146"
100%
Clark
"10,710"
"4,706"
100%
Calloway
"10,367"
"4,749"
100%
Whitley
"11,312"
"2,067"
100%
Woodford
"7,697"
"4,958"
100%
Muhlenberg
"9,393"
"3,272"
100%
Boyle
"8,040"
"4,281"
100%
Meade
"8,660"
"3,026"
100%
Knox
"9,885"
"1,761"
100%
Montgomery
"7,856"
"3,158"
100%
Anderson
"8,242"
"2,634"
100%
Taylor
"8,320"
"2,553"
100%
Logan
"7,778"
"2,755"
100%
Harlan
"9,129"
"1,372"
100%
Mercer
"7,740"
"2,395"
100%
Grayson
"8,219"
"1,959"
100%
Perry
"8,158"
"2,136"
100%
Ohio
"7,942"
"2,080"
100%
Carter
"7,587"
"2,276"
100%
Bell
"7,764"
"1,720"
100%
Johnson
"8,043"
"1,250"
100%
Lincoln
"7,338"
"1,865"
100%
Grant
"7,268"
"1,910"
100%
Spencer
"7,196"
"1,921"
100%
Letcher
"7,293"
"1,542"
100%
Rowan
"5,174"
"3,295"
100%
Bourbon
"5,569"
"2,791"
100%
Breckinridge
"6,484"
"1,960"
100%
Adair
"6,637"
"1,323"
100%
Russell
"6,863"
"1,093"
100%
Marion
"5,122"
"2,679"
100%
Allen
"6,466"
"1,349"
100%
Wayne
"6,370"
"1,431"
100%
Harrison
"5,435"
"2,031"
100%
Garrard
"5,904"
"1,453"
100%
Simpson
"5,077"
"2,144"
100%
Hart
"5,320"
"1,730"
100%
Mason
"4,944"
"1,970"
100%
Henry
"4,944"
"1,828"
100%
Clay
"5,861"
752
100%
Trigg
"4,928"
"1,587"
100%
Rockcastle
"5,609"
915
100%
Casey
"5,482"
767
100%
LaRue
"4,799"
"1,278"
100%
Fleming
"4,722"
"1,348"
100%
Union
"4,701"
"1,331"
100%
Lawrence
"4,816"
"1,045"
100%
Pendleton
"4,604"
"1,164"
100%
Caldwell
"4,507"
"1,260"
100%
Webster
"4,397"
"1,240"
100%
McCreary
"5,012"
664
100%
Knott
"4,357"
"1,245"
100%
Breathitt
"3,991"
"1,537"
100%
Washington
"4,013"
"1,420"
100%
Butler
"4,428"
947
100%
Estill
"4,236"
"1,108"
100%
Jackson
"4,889"
482
100%
Green
"4,372"
832
100%
Lewis
"4,363"
785
100%
Edmonson
"4,135"
979
100%
Magoffin
"3,824"
"1,172"
100%
Owen
"3,745"
"1,062"
100%
Monroe
"4,278"
601
100%
Powell
"3,513"
"1,272"
100%
Todd
"3,612"
"1,042"
100%
Morgan
"3,628"
"1,006"
100%
Livingston
"3,570"
887
100%
Metcalfe
"3,491"
976
100%
Bath
"3,082"
"1,361"
100%
McLean
"3,381"
988
100%
Leslie
"4,015"
400
100%
Clinton
"3,809"
547
100%
Hancock
"2,788"
"1,244"
100%
Ballard
"3,161"
816
100%
Crittenden
"3,290"
617
100%
Lyon
"2,789"
"1,045"
100%
Martin
"3,503"
363
100%
Carroll
"2,588"
"1,106"
100%
Trimble
"2,771"
879
100%
Bracken
"2,711"
705
100%
Gallatin
"2,443"
749
100%
Cumberland
"2,502"
459
100%
Elliott
"2,000"
740
100%
Nicholas
"1,957"
787
100%
Menifee
"2,010"
700
100%
Lee
"2,151"
444
100%
Wolfe
"1,804"
753
100%
Carlisle
"2,094"
432
100%
Fulton
"1,549"
774
100%
Hickman
"1,657"
449
100%
Owsley
"1,474"
256
100%
Robertson
759
222
100%
