Philadelphia
"105,418"
"560,542"
99%
Allegheny
"257,488"
"363,017"
100%
Montgomery
"160,803"
"251,063"
100%
Bucks
"163,873"
"165,861"
100%
Delaware
"106,559"
"169,169"
99%
Chester
"115,582"
"140,188"
100%
Lancaster
"137,145"
"90,066"
100%
York
"126,933"
"67,428"
100%
Westmoreland
"116,427"
"59,506"
100%
Berks
"93,094"
"75,169"
100%
Lehigh
"70,285"
"77,087"
100%
Northampton
"71,384"
"65,936"
100%
Luzerne
"77,508"
"51,454"
100%
Dauphin
"60,620"
"64,287"
100%
Erie
"57,168"
"54,820"
100%
Cumberland
"65,649"
"44,282"
100%
Lackawanna
"48,102"
"51,593"
100%
Washington
"58,941"
"34,436"
100%
Butler
"61,388"
"26,834"
100%
Beaver
"46,081"
"30,225"
100%
Centre
"35,099"
"36,555"
100%
Franklin
"49,554"
"17,322"
100%
Monroe
"31,706"
"31,930"
100%
Schuylkill
"43,937"
"16,724"
100%
Cambria
"40,510"
"17,798"
100%
Lebanon
"38,804"
"17,860"
100%
Fayette
"34,388"
"17,826"
100%
Blair
"37,224"
"13,093"
100%
Lycoming
"35,475"
"12,926"
100%
Mercer
"30,034"
"17,631"
100%
Adams
"31,249"
"14,077"
100%
Lawrence
"25,323"
"13,933"
100%
Indiana
"24,920"
"11,468"
100%
Somerset
"27,347"
"7,367"
100%
Crawford
"23,912"
"10,215"
100%
Northumberland
"24,418"
"9,184"
100%
Clearfield
"23,909"
"7,700"
100%
Armstrong
"22,676"
"6,849"
100%
Carbon
"18,714"
"8,917"
100%
Columbia
"17,387"
"8,502"
100%
Pike
"16,035"
"9,247"
100%
Bradford
"17,957"
"6,263"
100%
Bedford
"19,455"
"3,613"
100%
Wayne
"15,269"
"6,398"
100%
Venango
"15,254"
"5,889"
100%
Perry
"15,613"
"4,630"
100%
Huntingdon
"14,369"
"4,487"
100%
Susquehanna
"13,295"
"5,065"
100%
Jefferson
"14,533"
"3,437"
100%
Mifflin
"14,050"
"3,563"
100%
Warren
"12,032"
"4,828"
100%
Clarion
"12,545"
"4,256"
100%
Union
"10,605"
"6,138"
100%
Tioga
"12,928"
"3,642"
100%
Snyder
"11,710"
"3,991"
100%
McKean
"11,159"
"3,802"
100%
Greene
"10,394"
"4,157"
100%
Clinton
"9,701"
"4,533"
100%
Elk
"9,704"
"3,637"
100%
Wyoming
"8,375"
"3,573"
100%
Juniata
"8,234"
"1,810"
100%
Montour
"5,274"
"2,851"
100%
Potter
"6,247"
"1,300"
100%
Fulton
"5,676"
904
100%
Sullivan
"2,318"
756
100%
Forest
"1,680"
626
100%
Cameron
"1,495"
469
100%
