Yellowstone
"38,675"
"21,117"
100%
Missoula
"21,699"
"30,740"
100%
Gallatin
"23,360"
"23,879"
100%
Flathead
"30,079"
"13,233"
100%
Cascade
"19,343"
"12,053"
100%
Lewis and Clark
"16,665"
"14,331"
100%
Ravalli
"14,673"
"6,166"
100%
Silver Bow
"6,252"
"8,545"
100%
Lake
"7,453"
"4,703"
100%
Lincoln
"6,720"
"2,040"
100%
Park
"4,872"
"3,521"
100%
Jefferson
"4,099"
"1,975"
100%
Hill
"3,446"
"2,350"
100%
Carbon
"3,729"
"1,824"
100%
Sanders
"4,268"
"1,211"
100%
Fergus
"4,235"
"1,196"
100%
Custer
"3,638"
"1,172"
100%
Glacier
"1,598"
"3,076"
100%
Stillwater
"3,630"
904
100%
Richland
"3,885"
669
100%
Madison
"3,280"
"1,175"
100%
Beaverhead
"3,243"
"1,115"
100%
Dawson
"3,298"
786
100%
Big Horn
"1,833"
"2,061"
100%
Deer Lodge
"1,736"
"2,018"
100%
Valley
"2,697"
886
100%
Roosevelt
"1,722"
"1,504"
100%
Rosebud
"2,211"
969
100%
Teton
"2,152"
803
100%
Broadwater
"2,329"
566
100%
Powell
"2,017"
549
100%
Pondera
"1,786"
737
100%
Blaine
"1,259"
"1,187"
100%
Chouteau
"1,676"
729
100%
Musselshell
"1,961"
331
100%
Phillips
"1,715"
315
100%
Sweet Grass
"1,580"
398
100%
Toole
"1,495"
399
100%
Mineral
"1,322"
515
100%
Sheridan
"1,237"
476
100%
Granite
"1,185"
469
100%
Fallon
"1,276"
154
100%
Judith Basin
867
232
100%
McCone
858
154
100%
Powder River
880
127
100%
Meagher
728
191
100%
Daniels
729
167
100%
Liberty
695
205
100%
Wheatland
698
179
100%
Carter
677
70
100%
Garfield
653
34
100%
Prairie
555
100
100%
Wibaux
460
55
100%
Golden Valley
365
71
100%
Treasure
350
59
100%
Petroleum
276
30
100%
