Bernalillo
"141,960"
"93,874"
100%
Santa Fe
"49,956"
"14,198"
100%
Dona Ana
"37,543"
"25,095"
100%
Sandoval
"27,405"
"25,748"
100%
San Juan
"12,826"
"27,879"
100%
Valencia
"10,810"
"13,175"
100%
McKinley
"13,162"
"4,893"
100%
Chaves
"5,530"
"12,869"
100%
Otero
"6,033"
"11,756"
100%
Eddy
"5,008"
"13,124"
100%
Lea
"3,877"
"12,306"
100%
Taos
"10,550"
"2,706"
100%
Rio Arriba
"9,534"
"3,583"
100%
Grant
"6,226"
"5,251"
100%
Curry
"2,776"
"7,560"
100%
Los Alamos
"5,443"
"3,329"
100%
San Miguel
"7,249"
"2,302"
100%
Lincoln
"2,329"
"5,889"
100%
Cibola
"3,721"
"3,179"
100%
Luna
"3,195"
"3,478"
100%
Socorro
"3,275"
"2,592"
100%
Torrance
"1,770"
"3,695"
100%
Roosevelt
"1,445"
"3,865"
100%
Colfax
"2,118"
"2,569"
100%
Sierra
"1,600"
"2,998"
100%
Quay
"1,016"
"2,208"
100%
Mora
"1,533"
662
100%
Catron
426
"1,453"
100%
Hidalgo
780
906
100%
Guadalupe
962
591
100%
Union
318
"1,214"
100%
DeBaca
192
617
100%
Harding
156
311
100%
