Hennepin
"429,283"
"191,768"
100%
Ramsey
"176,929"
"70,778"
100%
Dakota
"110,251"
"99,624"
100%
Anoka
"75,499"
"93,341"
100%
Washington
"67,086"
"64,429"
100%
St. Louis
"57,769"
"44,631"
100%
Olmsted
"36,266"
"35,668"
100%
Stearns
"25,575"
"47,618"
100%
Scott
"28,502"
"39,948"
100%
Wright
"20,336"
"43,274"
100%
Carver
"21,508"
"29,057"
100%
Sherburne
"13,299"
"31,049"
100%
Crow Wing
"10,982"
"22,287"
100%
Blue Earth
"14,428"
"15,667"
100%
Otter Tail
"9,339"
"20,939"
100%
Rice
"14,437"
"15,429"
100%
Chisago
"9,279"
"18,441"
100%
Clay
"12,974"
"13,549"
100%
Winona
"11,366"
"12,122"
100%
Goodhue
"9,446"
"14,041"
100%
Itasca
"9,015"
"12,920"
100%
Kandiyohi
"7,266"
"12,785"
100%
Douglas
"6,227"
"13,966"
100%
Beltrami
"8,688"
"10,783"
100%
Isanti
"5,656"
"13,635"
100%
Benton
"5,640"
"12,872"
100%
Steele
"6,239"
"11,198"
100%
McLeod
"4,978"
"12,155"
100%
Carlton
"8,460"
"8,160"
100%
Nicollet
"7,886"
"8,436"
100%
Mower
"7,444"
"8,826"
100%
Morrison
"3,637"
"12,925"
100%
Becker
"5,208"
"10,880"
100%
Freeborn
"6,041"
"8,808"
100%
Cass
"4,949"
"9,982"
100%
Le Sueur
"4,623"
"9,182"
100%
Polk
"4,712"
"8,979"
100%
Pine
"4,580"
"8,191"
100%
Brown
"3,763"
"8,708"
100%
Mille Lacs
"3,709"
"8,340"
100%
Meeker
"3,192"
"8,103"
100%
Lyon
"3,825"
"7,256"
100%
Todd
"2,783"
"8,485"
100%
Wabasha
"3,866"
"6,989"
100%
Hubbard
"3,432"
"7,269"
100%
Fillmore
"3,872"
"6,271"
100%
Dodge
"3,102"
"6,527"
100%
Houston
"4,145"
"5,616"
100%
Martin
"2,733"
"7,062"
100%
Waseca
"2,838"
"5,967"
100%
Aitkin
"3,134"
"5,516"
100%
Nobles
"2,733"
"5,299"
100%
Kanabec
"2,327"
"5,230"
100%
Roseau
"1,856"
"5,451"
100%
Sibley
"1,954"
"5,193"
100%
Redwood
"1,887"
"5,137"
100%
Renville
"2,117"
"4,890"
100%
Faribault
"2,153"
"4,659"
100%
Wadena
"1,684"
"4,837"
100%
Pennington
"2,146"
"4,000"
100%
Lake
"3,077"
"2,932"
100%
Koochiching
"2,306"
"3,569"
100%
Pope
"2,106"
"3,793"
100%
Chippewa
"1,978"
"3,764"
100%
Cottonwood
"1,678"
"3,679"
100%
Jackson
"1,492"
"3,609"
100%
Stevens
"2,116"
"2,800"
100%
Yellow Medicine
"1,524"
"3,382"
100%
Watonwan
"1,814"
"2,768"
100%
Swift
"1,679"
"2,962"
100%
Rock
"1,373"
"3,091"
100%
Marshall
"1,225"
"3,208"
100%
Pipestone
"1,127"
"3,338"
100%
Murray
"1,295"
"2,974"
100%
Clearwater
"1,100"
"2,925"
100%
Lac Qui Parle
"1,301"
"2,294"
100%
Grant
"1,104"
"2,063"
100%
Cook
"1,912"
"1,156"
100%
Wilkin
893
"2,129"
100%
Norman
"1,264"
"1,699"
100%
Lincoln
860
"1,930"
100%
Big Stone
921
"1,607"
100%
Kittson
823
"1,349"
100%
Lake of the Woods
553
"1,540"
100%
Mahnomen
930
991
100%
Red Lake
540
"1,141"
100%
Traverse
631
"1,050"
100%
