Miami-Dade
"333,666"
"623,006"
100%
Broward
"258,521"
"546,956"
100%
Palm Beach
"270,762"
"371,411"
100%
Hillsborough
"265,928"
"306,422"
100%
Orange
"195,091"
"329,579"
100%
Pinellas
"238,746"
"233,327"
100%
Duval
"210,061"
"203,627"
100%
Lee
"191,141"
"124,725"
100%
Brevard
"181,620"
"119,525"
100%
Polk
"157,216"
"117,182"
100%
Volusia
"142,763"
"108,793"
100%
Pasco
"141,943"
"89,998"
100%
Sarasota
"124,098"
"97,676"
100%
Seminole
"109,265"
"105,611"
100%
Manatee
"101,681"
"71,066"
100%
Marion
"107,710"
"61,958"
100%
Collier
"105,297"
"60,941"
100%
Lake
"101,888"
"62,597"
100%
Leon
"53,777"
"91,936"
100%
Escambia
"88,370"
"57,114"
100%
St. Lucie
"70,248"
"66,812"
100%
Osceola
"50,252"
"85,287"
100%
St. Johns
"88,633"
"43,037"
100%
Alachua
"46,584"
"75,370"
100%
Clay
"74,898"
"27,768"
100%
Okaloosa
"71,788"
"23,711"
100%
Charlotte
"60,196"
"33,421"
100%
Hernando
"59,029"
"31,818"
100%
Santa Rosa
"65,126"
"18,398"
100%
Bay
"62,010"
"21,689"
100%
Martin
"53,182"
"30,158"
100%
Indian River
"48,564"
"28,997"
100%
Citrus
"54,377"
"22,765"
100%
Sumter
"52,722"
"22,631"
100%
Flagler
"33,804"
"21,985"
100%
Nassau
"34,221"
"10,849"
100%
Highlands
"29,509"
"14,901"
100%
Monroe
"21,885"
"18,949"
100%
Walton
"25,695"
"6,861"
100%
Putnam
"21,873"
"9,920"
100%
Columbia
"20,359"
"7,599"
100%
Gadsden
"6,721"
"14,994"
100%
Jackson
"14,231"
"6,383"
100%
Levy
"13,758"
"5,091"
100%
Suwannee
"14,281"
"3,955"
100%
Wakulla
"10,507"
"4,348"
100%
Okeechobee
"9,342"
"3,953"
100%
Baker
"10,294"
"2,112"
100%
Bradford
"8,913"
"2,924"
100%
Washington
"8,630"
"2,261"
100%
Hendry
"6,192"
"4,610"
100%
DeSoto
"6,744"
"3,761"
100%
Taylor
"6,923"
"2,149"
100%
Holmes
"7,476"
852
100%
Madison
"4,849"
"3,526"
100%
Gilchrist
"6,740"
"1,457"
100%
Jefferson
"3,930"
"3,537"
100%
Hardee
"5,238"
"2,147"
100%
Gulf
"5,320"
"1,715"
100%
Dixie
"5,822"
"1,270"
100%
Calhoun
"4,647"
"1,236"
100%
Franklin
"4,119"
"1,738"
100%
Union
"4,567"
"1,014"
100%
Hamilton
"3,439"
"1,899"
100%
Glades
"2,996"
"1,271"
100%
Lafayette
"2,795"
515
100%
Liberty
"2,542"
651
100%
