Douglas
"102,151"
"105,207"
100%
Lancaster
"60,456"
"60,533"
100%
Sarpy
"44,649"
"27,704"
100%
Hall
"14,139"
"6,142"
100%
Buffalo
"14,424"
"4,690"
100%
Lincoln
"11,992"
"2,878"
100%
Dodge
"9,736"
"4,451"
100%
Platte
"10,864"
"2,612"
100%
Madison
"10,518"
"2,663"
100%
Scotts Bluff
"9,952"
"3,151"
100%
Adams
"9,205"
"3,272"
100%
Cass
"8,388"
"3,461"
100%
Saunders
"7,486"
"2,509"
100%
Washington
"7,374"
"2,606"
100%
Gage
"6,333"
"2,930"
100%
Dawson
"5,935"
"2,116"
100%
Seward
"5,451"
"1,881"
100%
Otoe
"4,833"
"2,017"
100%
Dakota
"4,028"
"2,904"
100%
York
"4,686"
"1,181"
100%
Custer
"4,616"
635
100%
Red Willow
"4,212"
638
100%
Holt
"4,275"
522
100%
Hamilton
"3,763"
873
100%
Saline
"2,849"
"1,630"
100%
Box Butte
"3,550"
953
100%
Phelps
"3,832"
571
100%
Cheyenne
"3,610"
702
100%
Cedar
"3,533"
572
100%
Knox
"3,181"
715
100%
Cuming
"3,095"
712
100%
Keith
"3,203"
560
100%
Butler
"3,068"
690
100%
Wayne
"2,675"
828
100%
Merrick
"2,914"
601
100%
Richardson
"2,684"
798
100%
Pierce
"3,052"
382
100%
Dawes
"2,559"
785
100%
Burt
"2,360"
928
100%
Jefferson
"2,387"
831
100%
Kearney
"2,519"
550
100%
Antelope
"2,717"
381
100%
Colfax
"2,171"
857
100%
Cherry
"2,623"
317
100%
Nemaha
"2,068"
765
100%
Clay
"2,373"
470
100%
Howard
"2,284"
544
100%
Fillmore
"2,100"
610
100%
Boone
"2,299"
414
100%
Stanton
"2,173"
417
100%
Dixon
"2,041"
556
100%
Thayer
"1,993"
490
100%
Sheridan
"2,192"
286
100%
Polk
"2,019"
411
100%
Furnas
"1,915"
304
100%
Valley
"1,770"
337
100%
Morrill
"1,788"
282
100%
Nuckolls
"1,709"
348
100%
Johnson
"1,348"
560
100%
Thurston
"1,013"
911
100%
Chase
"1,621"
171
100%
Webster
"1,320"
306
100%
Franklin
"1,345"
250
100%
Kimball
"1,317"
227
100%
Nance
"1,257"
280
100%
Harlan
"1,302"
219
100%
Brown
"1,380"
153
100%
Sherman
"1,143"
338
100%
Hitchcock
"1,216"
158
100%
Perkins
"1,202"
160
100%
Pawnee
970
279
100%
Frontier
"1,106"
161
100%
Greeley
911
210
100%
Boyd
978
128
100%
Garden
869
153
100%
Gosper
792
165
100%
Deuel
809
120
100%
Garfield
819
121
100%
Dundy
823
89
100%
Rock
687
70
100%
Sioux
602
77
100%
Keya Paha
458
39
100%
Hayes
471
30
100%
Wheeler
377
62
100%
Logan
400
32
100%
Hooker
355
40
100%
Grant
367
20
100%
Banner
355
18
100%
Thomas
344
30
100%
Loup
323
48
100%
Blaine
273
30
100%
McPherson
257
14
100%
Arthur
237
16
100%
