Fulton
"110,372"
"281,875"
100%
Cobb
"152,602"
"159,416"
100%
Gwinnett
"146,463"
"165,063"
100%
DeKalb
"47,531"
"239,131"
100%
Cherokee
"80,611"
"25,203"
100%
Chatham
"43,649"
"58,998"
100%
Henry
"45,641"
"49,902"
100%
Forsyth
"69,801"
"23,427"
100%
Clayton
"11,740"
"75,908"
100%
Richmond
"24,441"
"48,707"
100%
Hall
"51,681"
"16,153"
100%
Muscogee
"26,901"
"39,602"
100%
Paulding
"44,646"
"18,004"
100%
Columbia
"43,060"
"18,863"
100%
Coweta
"42,513"
"16,572"
100%
Fayette
"35,034"
"23,255"
100%
Houston
"35,351"
"22,460"
100%
Bibb
"22,589"
"34,383"
100%
Douglas
"24,803"
"30,971"
100%
Clarke
"12,691"
"29,514"
100%
Newton
"20,907"
"21,936"
100%
Carroll
"29,983"
"12,422"
100%
Walton
"31,093"
"8,279"
100%
Bartow
"29,879"
"8,204"
100%
Rockdale
"13,463"
"23,206"
100%
Lowndes
"21,308"
"14,614"
100%
Floyd
"24,045"
"9,127"
100%
Glynn
"21,482"
"11,738"
100%
Dougherty
"10,227"
"23,224"
100%
Whitfield
"21,514"
"7,925"
100%
Barrow
"21,105"
"6,580"
100%
Jackson
"21,754"
"4,469"
100%
Catoosa
"20,860"
"4,769"
100%
Spalding
"15,636"
"9,347"
100%
Troup
"15,643"
"9,597"
100%
Bulloch
"14,476"
"8,812"
100%
Walker
"18,938"
"4,213"
100%
Effingham
"17,865"
"4,851"
100%
Laurens
"12,401"
"6,737"
100%
Oconee
"12,885"
"5,253"
100%
Gordon
"15,171"
"3,176"
100%
Camden
"12,287"
"5,914"
100%
Thomas
"11,225"
"7,138"
100%
Harris
"11,931"
"4,082"
100%
Habersham
"13,184"
"2,483"
100%
Liberty
"6,125"
"9,531"
100%
Baldwin
"7,691"
"7,965"
100%
Bryan
"10,513"
"4,010"
100%
Polk
"11,006"
"2,863"
100%
Lee
"10,641"
"3,166"
100%
Pickens
"11,651"
"1,977"
100%
Coffee
"9,575"
"4,090"
100%
Colquitt
"9,892"
"3,460"
100%
Tift
"8,680"
"3,892"
100%
Gilmer
"10,465"
"1,955"
100%
Monroe
"8,821"
"3,570"
100%
Jones
"8,304"
"3,960"
100%
Murray
"10,340"
"1,799"
100%
Lumpkin
"9,613"
"2,216"
100%
Ware
"8,508"
"3,436"
100%
Union
"9,849"
"1,962"
100%
Madison
"9,195"
"2,423"
100%
White
"9,751"
"1,672"
100%
Fannin
"9,622"
"1,920"
100%
Dawson
"9,880"
"1,444"
100%
Haralson
"9,579"
"1,474"
100%
Sumter
"5,275"
"5,520"
100%
Upson
"7,288"
"3,471"
100%
Peach
"5,405"
"5,083"
100%
Wayne
"8,147"
"2,039"
100%
Decatur
"6,009"
"4,104"
100%
Hart
"7,285"
"2,583"
100%
Stephens
"7,682"
"1,835"
100%
Butts
"6,717"
"2,566"
100%
Morgan
"6,559"
"2,658"
100%
Putnam
"6,516"
"2,745"
100%
Burke
"4,491"
"4,730"
100%
McDuffie
"5,432"
"3,699"
100%
Grady
"6,047"
"3,005"
100%
Meriwether
"5,216"
"3,800"
100%
Toombs
"6,612"
"2,338"
100%
Greene
"5,488"
"3,194"
100%
Pike
"7,273"
"1,239"
100%
Franklin
"7,054"
"1,243"
100%
Washington
"4,138"
"4,187"
100%
Worth
"6,144"
"2,015"
100%
Chattooga
"6,457"
"1,612"
100%
Rabun
"6,287"
"1,443"
100%
Elbert
"5,269"
"2,507"
100%
Mitchell
"4,272"
"3,492"
100%
Emanuel
"5,330"
"2,433"
100%
Lamar
"5,183"
"2,267"
100%
Crisp
"4,539"
"2,835"
100%
Pierce
"6,301"
903
100%
Appling
"5,492"
"1,434"
100%
Dodge
"5,021"
"1,836"
100%
Banks
"6,130"
684
100%
Jefferson
"3,057"
"3,809"
100%
Tattnall
"5,092"
"1,678"
100%
Towns
"5,377"
"1,206"
100%
Oglethorpe
