Shelby
"114,948"
"206,640"
100%
Davidson
"84,365"
"148,473"
100%
Knox
"105,724"
"62,861"
100%
Hamilton
"78,661"
"55,260"
100%
Rutherford
"64,428"
"36,627"
100%
Williamson
"68,160"
"30,992"
100%
Sumner
"50,105"
"18,153"
100%
Sullivan
"45,577"
"11,910"
100%
Montgomery
"32,320"
"21,686"
100%
Wilson
"39,304"
"14,356"
100%
Blount
"37,385"
"12,085"
100%
Washington
"34,179"
"13,003"
100%
Bradley
"29,761"
"7,070"
100%
Madison
"21,321"
"15,438"
100%
Sevier
"28,610"
"6,293"
100%
Maury
"23,781"
"10,026"
100%
Anderson
"19,201"
"9,010"
100%
Robertson
"19,393"
"6,634"
100%
Putnam
"18,981"
"6,847"
100%
Cumberland
"20,410"
"5,202"
100%
Greene
"18,538"
"4,211"
100%
Tipton
"16,893"
"5,779"
100%
Loudon
"17,588"
"4,916"
100%
Roane
"15,863"
"4,833"
100%
Carter
"16,897"
"3,453"
100%
Hawkins
"16,611"
"3,502"
100%
Hamblen
"15,839"
"4,075"
100%
Coffee
"14,409"
"4,741"
100%
Gibson
"13,779"
"5,255"
100%
Fayette
"13,046"
"5,865"
100%
Jefferson
"14,760"
"3,490"
100%
McMinn
"14,673"
"3,507"
100%
Dickson
"13,213"
"4,718"
100%
Monroe
"13,361"
"3,184"
100%
Franklin
"11,526"
"4,372"
100%
Cheatham
"11,295"
"3,877"
100%
Lawrence
"12,419"
"2,821"
100%
Bedford
"11,455"
"3,384"
100%
Warren
"9,535"
"3,535"
100%
Dyer
"10,175"
"2,815"
100%
Lincoln
"10,375"
"2,550"
100%
Henry
"9,483"
"3,061"
100%
Campbell
"9,860"
"2,248"
100%
Obion
"9,525"
"2,425"
100%
Weakley
"9,001"
"2,770"
100%
Cocke
"9,791"
"1,980"
100%
Marshall
"8,167"
"2,848"
100%
Giles
"7,964"
"2,915"
100%
Rhea
"8,650"
"1,942"
100%
Marion
"7,680"
"2,829"
100%
Claiborne
"8,589"
"1,831"
100%
Carroll
"7,731"
"2,323"
100%
Henderson
"8,118"
"1,796"
100%
McNairy
"7,839"
"1,847"
100%
Hardin
"8,012"
"1,622"
100%
White
"7,657"
"1,842"
100%
Hardeman
"4,912"
"4,174"
100%
Lauderdale
"4,884"
"3,656"
100%
Overton
"6,055"
"1,943"
100%
Grainger
"6,618"
"1,154"
100%
Hickman
"5,685"
"1,823"
100%
Macon
"6,260"
"1,071"
100%
Smith
"5,485"
"1,688"
100%
Fentress
"6,032"
"1,100"
100%
Unicoi
"5,666"
"1,260"
100%
Humphreys
"4,928"
"1,967"
100%
Scott
"6,044"
934
100%
DeKalb
"5,164"
"1,566"
100%
Haywood
"3,010"
"3,704"
100%
Morgan
"5,429"
"1,053"
100%
Johnson
"5,400"
988
100%
Polk
"5,097"
"1,252"
100%
Benton
"4,715"
"1,474"
100%
Union
"5,024"
"1,010"
100%
Wayne
"5,034"
717
100%
Sequatchie
"4,434"
"1,051"
100%
Crockett
"3,977"
"1,302"
100%
Cannon
"4,006"
"1,126"
100%
Stewart
"3,864"
"1,222"
100%
Chester
"3,827"
902
100%
Grundy
"3,626"
998
100%
Bledsoe
"3,621"
896
100%
Lewis
"3,579"
890
100%
Decatur
"3,580"
894
100%
Jackson
"3,229"
"1,129"
100%
Meigs
"3,337"
856
100%
Houston
"2,180"
865
100%
Trousdale
"2,099"
943
100%
Moore
"2,325"
496
100%
Clay
"2,140"
707
100%
Perry
"2,167"
597
100%
Pickett
"2,019"
536
100%
Van Buren
"1,820"
539
100%
Hancock
"1,842"
322
100%
Lake
"1,357"
577
100%
