Minnehaha
"42,043"
"30,610"
100%
Pennington
"29,804"
"14,074"
100%
Lincoln
"15,499"
"8,076"
100%
Brown
"9,613"
"5,452"
100%
Brookings
"6,748"
"4,879"
100%
Lawrence
"7,411"
"3,356"
100%
Codington
"7,764"
"3,174"
100%
Meade
"8,441"
"2,223"
100%
Yankton
"5,654"
"3,301"
100%
Hughes
"5,174"
"2,449"
100%
Davison
"5,157"
"2,355"
100%
Union
"5,288"
"2,227"
100%
Lake
"4,038"
"2,314"
100%
Beadle
"4,455"
"1,912"
100%
Clay
"2,109"
"2,608"
100%
Custer
"3,290"
"1,120"
100%
Butte
"3,355"
693
100%
Turner
"2,937"
961
100%
Roberts
"2,142"
"1,539"
100%
Fall River
"2,511"
821
100%
Grant
"2,381"
970
100%
Charles Mix
"2,382"
935
100%
Hutchinson
"2,517"
692
100%
Bon Homme
"2,105"
704
100%
Spink
"1,854"
919
100%
Moody
"1,729"
"1,042"
100%
Oglala Lakota
241
"2,504"
100%
Hamlin
"2,051"
555
100%
Day
"1,627"
974
100%
Tripp
"2,069"
462
100%
McCook
"1,794"
623
100%
Kingsbury
"1,680"
703
100%
Walworth
"1,896"
457
100%
Brule
"1,565"
571
100%
Todd
487
"1,505"
100%
Gregory
"1,600"
391
100%
Deuel
"1,366"
570
100%
Hanson
"1,497"
424
100%
Marshall
"1,056"
754
100%
Edmunds
"1,433"
380
100%
Hand
"1,391"
334
100%
Dewey
723
887
100%
Clark
"1,139"
398
100%
Perkins
"1,333"
188
100%
Douglas
"1,338"
214
100%
Stanley
"1,148"
329
100%
Lyman
977
369
100%
Aurora
974
340
100%
Potter
"1,069"
215
100%
Corson
588
535
100%
Bennett
666
412
100%
McPherson
892
192
100%
Sanborn
819
241
100%
Faulk
858
204
100%
Jackson
722
323
100%
Miner
706
281
100%
Haakon
936
77
100%
Jerauld
648
264
100%
Sully
679
137
100%
Campbell
704
105
100%
Harding
694
38
100%
Ziebach
368
352
100%
Hyde
543
125
100%
Mellette
402
238
100%
Jones
450
69
100%
Buffalo
171
296
100%
