Manchester
"24,700"
"21,414"
100%
Nashua
"22,690"
"17,476"
100%
Concord
"12,884"
"7,776"
100%
Dover
"10,118"
"6,015"
100%
Derry
"6,825"
"9,237"
100%
Salem
"6,068"
"9,312"
100%
Rochester
"6,267"
"7,789"
100%
Merrimack
"6,405"
"7,397"
100%
Londonderry
"5,968"
"7,338"
100%
Bedford
"5,851"
"6,816"
100%
Hudson
"5,306"
"7,220"
100%
Portsmouth
"8,911"
"3,632"
100%
Keene
"7,932"
"3,831"
100%
Hampton
"4,953"
"4,802"
100%
Goffstown
"4,146"
"5,009"
100%
Durham
"6,501"
"2,450"
100%
Exeter
"5,514"
"3,286"
100%
Windham
"3,507"
"4,825"
100%
Milford
"3,816"
"3,850"
100%
Hooksett
"3,436"
"4,225"
100%
Laconia
"3,303"
"4,303"
100%
Hanover
"6,561"
926
100%
Pelham
"2,719"
"4,624"
100%
Amherst
"3,777"
"3,271"
100%
Lebanon
"4,898"
"1,841"
100%
Claremont
"2,529"
"2,680"
100%
Hampstead
"1,966"
"3,186"
100%
Newmarket
"3,157"
"1,836"
100%
Raymond
"1,921"
"3,151"
100%
Conway
"2,743"
"2,301"
100%
Somersworth
"2,642"
"2,388"
100%
Barrington
"2,375"
"2,469"
100%
Hollis
"2,529"
"2,310"
100%
Weare
"1,734"
"2,957"
100%
Bow
"2,570"
"2,119"
100%
Litchfield
"1,923"
"2,720"
100%
Stratham
"2,593"
"2,005"
100%
Gilford
"1,973"
"2,504"
100%
Seabrook
"1,595"
"2,743"
100%
Atkinson
"1,671"
"2,595"
100%
Plaistow
"1,672"
"2,531"
100%
Wolfeboro
"1,871"
"2,176"
100%
Meredith
"1,709"
"2,160"
100%
Rye
"2,211"
"1,579"
100%
Epping
"1,625"
"2,117"
100%
Pembroke
"1,810"
"1,919"
100%
Berlin
"1,954"
"1,766"
100%
Peterborough
"2,487"
"1,179"
100%
Hopkinton
"2,240"
"1,427"
100%
Swanzey
"1,807"
"1,828"
100%
Plymouth
"2,143"
"1,394"
100%
Franklin
"1,487"
"2,049"
100%
Kingston
"1,422"
"2,081"
100%
Belmont
"1,272"
"2,192"
100%
Sandown
"1,207"
"2,144"
100%
Auburn
"1,307"
"2,031"
100%
Alton
"1,152"
"2,201"
100%
Rindge
"1,292"
"1,961"
100%
New Boston
"1,381"
"1,792"
100%
Loudon
"1,136"
"1,950"
100%
Moultonborough
"1,148"
"1,888"
100%
North Hampton
"1,562"
"1,448"
100%
Brookline
"1,417"
"1,501"
100%
Farmington
"1,127"
"1,785"
100%
Hillsborough
"1,198"
"1,588"
100%
Chester
"1,092"
"1,727"
100%
Nottingham
"1,365"
"1,511"
100%
Newport
"1,085"
"1,665"
100%
New London
"1,765"
