Portland
"28,505"
"6,786"
100%
Lewiston
"8,189"
"7,301"
100%
Bangor
"8,146"
"5,993"
100%
South Portland
"9,901"
"3,945"
100%
Scarborough
"6,893"
"4,918"
100%
Brunswick
"7,991"
"3,646"
100%
Auburn
"5,296"
"5,324"
100%
Saco
"5,904"
"4,067"
100%
Sanford
"4,438"
"4,733"
100%
Biddeford
"5,505"
"3,729"
100%
Windham
"4,305"
"4,859"
100%
Westbrook
"5,431"
"3,572"
100%
Gorham
"4,995"
"3,945"
100%
Augusta
"4,396"
"3,805"
100%
York
"4,929"
"3,260"
100%
Falmouth
"4,877"
"2,633"
100%
Kennebunk
"4,224"
"2,648"
100%
Waterville
"4,163"
"2,422"
100%
Wells
"3,269"
"2,803"
100%
Cape Elizabeth
"4,480"
"1,593"
100%
Topsham
"3,109"
"2,328"
100%
Kittery
"3,471"
"1,746"
100%
Yarmouth
"3,701"
"1,502"
100%
Freeport
"3,442"
"1,644"
100%
Old Orchrd Bch
"2,978"
"2,147"
100%
Standish
"2,144"
"2,873"
100%
Orono
"3,420"
"1,445"
100%
Cumberland
"3,184"
"1,755"
100%
Brewer
"2,165"
"2,585"
100%
Lisbon
"1,697"
"2,749"
100%
Gray
"2,021"
"2,397"
100%
Buxton
"1,895"
"2,538"
100%
Bath
"2,733"
"1,571"
100%
Hampden
"1,929"
"2,103"
100%
Ellsworth
"1,809"
"2,113"
100%
Winslow
"1,825"
"2,100"
100%
Presque Isle
"1,779"
"2,105"
100%
Eliot
"2,257"
"1,704"
100%
South Berwick
"2,227"
"1,616"
100%
Skowhegan
"1,674"
"2,046"
100%
Caribou
"1,595"
"2,106"
100%
Berwick
"1,539"
"2,086"
100%
Old Town
"2,029"
"1,514"
100%
Waterboro
"1,373"
"2,189"
100%
Belfast
"2,351"
"1,241"
100%
Farmington
"1,979"
"1,483"
100%
Winthrop
"1,683"
"1,677"
100%
Rockland
"2,023"
"1,209"
100%
Hermon
"1,101"
"2,170"
100%
Oakland
"1,442"
"1,715"
100%
Harpswell
"1,881"
"1,316"
100%
Camden
"2,430"
802
100%
Turner
"1,083"
"2,010"
100%
Fairfield
"1,250"
"1,745"
100%
New Gloucester
"1,350"
"1,657"
100%
Poland
"1,244"
"1,685"
100%
Bar Harbor
"2,244"
712
100%
Lebanon
939
"1,945"
100%
Gardiner
"1,448"
"1,366"
100%
Bridgton
"1,224"
"1,474"
100%
Raymond
"1,263"
"1,381"
100%
North Berwick
"1,165"
"1,419"
100%
Rumford
"1,137"
"1,400"
100%
Sabattus
865
"1,701"
100%
Waldoboro
"1,133"
"1,409"
100%
Houlton
940
"1,573"
100%
Paris
"1,034"
"1,372"
100%
North Yarmouth
"1,493"
922
100%
Bucksport
"1,035"
"1,335"
100%
Norway
"1,056"
"1,313"
100%
Sidney
939
"1,411"
100%
Hollis
"1,015"
"1,329"
100%
Durham
"1,084"
"1,266"
100%
Lyman
"1,038"
"1,300"
100%
Greene
810
"1,542"
100%
Glenburn
933
"1,411"
100%
Jay
"1,143"
"1,184"
100%
Arundel
"1,064"
"1,198"
100%
China
919
"1,347"
100%
Lincoln
704
"1,574"
100%
Vassalboro
904
"1,335"
100%
Kennebunkport
"1,356"
910
100%
Orrington
869
"1,313"
100%
Monmouth
865
"1,271"
100%
Rockport
"1,381"
740
100%
Naples
826
"1,277"
100%
Madison
813
"1,262"
100%
Millinocket
913
"1,161"
100%
Wiscasset
864
"1,164"
100%
Oxford
694
"1,270"
100%
Madawaska
"1,178"
845
100%
Winterport
866
"1,109"
100%
West Gardiner
792
"1,186"
100%
Wilton
872
"1,066"
100%
Fort Kent
986
997
100%
Warren
765
"1,181"
100%
Dover-Foxcroft
789
"1,138"
100%
Casco
819
"1,117"
100%
Limington
697
"1,195"
100%
Boothbay
980
899
100%
Litchfield
701
"1,156"
100%
Belgrade
826
"1,062"
100%
Holden
719
"1,123"
100%
Woolwich
827
"1,001"
100%
Pittsfield
670
"1,072"
100%
Richmond
733
961
100%
Bowdoinham
876
803
100%
Alfred
812
885
100%
Bristol
936
767
100%
Norridgewock
636
"1,022"
100%
Dexter
572
"1,062"
100%
Blue Hill
"1,088"
560
100%
Fryeburg
810
768
100%
Milford
788
818
100%
Newport
576
"1,026"
100%
Bowdoin
589
"1,007"
100%
Farmingdale
773
761
100%
Bethel
856
678
100%
Clinton
521
"1,012"
100%
Pittston
577
936
100%
Minot
539
981
100%
Fort Fairfield
659
888
100%
St. George
930
621
100%
Manchester
746
769
100%
Readfield
793
710
100%
Limerick
642
843
100%
Hallowell
"1,093"
374
100%
Carmel
459
"1,019"
100%
Jefferson
548
874
100%
Levant
424
"1,025"
100%
Shapleigh
534
874
100%
Mechanic Falls
515
871
100%
Lincolnville
883
510
100%
Searsport
689
710
100%
Benton
544
842
100%
Corinth
368
"1,057"
100%
Chelsea
520
860
100%
Thomaston
785
581
100%
Acton
542
820
100%
Harrison
567
760
100%
Calais
574
762
100%
Livermore Falls
550
728
100%
Phippsburg
617
692
100%
Whitefield
605
687
100%
Mount Desert
917
389
100%
Orland
623
651
100%
Boothbay Harbor
729
541
100%
Windsor
406
813
100%
Eddington
444
784
100%
Union
582
665
100%
Damariscotta
767
454
100%
Mexico
544
647
100%
Hancock
507
678
100%
Livermore
470
702
100%
Leeds
414
751
100%
Dixfield
415
709
100%
Dayton
467
668
100%
Newcastle
786
380
100%
West Bath
572
562
100%
Deer Isle
684
453
100%
Milo
385
694
100%
Anson
360
705
100%
Nobleboro
548
518
100%
Albion
329
716
100%
St. Albans
282
768
100%
Corinna
304
738
100%
Mapleton
359
693
100%
Veazie
556
483
100%
Canaan
362
647
100%
Sebago
421
600
100%
Southwest Harbor
646
400
100%
Greenville
407
625
100%
Eastport
708
309
100%
Lamoine
481
516
100%
Dedham
450
542
100%
Buckfield
371
619
100%
Otisfield
423
560
100%
Palmyra
309
681
100%
Pownal
566
421
100%
Dresden
447
513
100%
Unity
448
474
100%
Hope
537
418
100%
Gouldsboro
409
559
100%
Parsonsfield
367
552
100%
Northport
528
408
100%
Owl's Head
496
431
100%
Stockton Springs
445
471
100%
West Paris
340
544
100%
Surry
490
418
100%
Randolph
426
475
100%
Van Buren
509
403
100%
Peru
320
546
100%
Mount Vernon
458
475
100%
Newburgh
328
545
100%
Machias
387
454
100%
East Millinocket
373
494
100%
Tremont
477
381
100%
Washington
322
507
100%
Waterford
338
496
100%
New Sharon
310
498
100%
Baldwin
271
560
100%
South Thomaston
445
383
100%
Ogunquit
564
286
100%
Hartland
222
600
100%
Wales
219
578
100%
Cushing
372
440
100%
