Johnson
"133,907"
"126,324"
100%
Sedgwick
"101,319"
"66,716"
100%
Shawnee
"35,349"
"33,270"
100%
Douglas
"14,308"
"30,089"
100%
Wyandotte
"15,520"
"29,346"
100%
Leavenworth
"17,387"
"10,064"
100%
Butler
"18,781"
"6,489"
100%
Reno
"15,100"
"6,670"
100%
Saline
"13,367"
"6,084"
100%
Riley
"9,817"
"8,892"
100%
Miami
"9,839"
"3,949"
100%
Harvey
"8,503"
"5,006"
100%
Crawford
"8,394"
"5,064"
100%
McPherson
"8,407"
"3,183"
100%
Cowley
"8,016"
"3,436"
100%
Lyon
"6,354"
"4,456"
100%
Ellis
"8,311"
"2,669"
100%
Montgomery
"8,466"
"2,557"
100%
Franklin
"7,025"
"2,829"
100%
Pottawatomie
"7,451"
"2,191"
100%
Barton
"7,766"
"1,823"
100%
Finney
"6,155"
"3,006"
100%
Sumner
"6,844"
"2,039"
100%
Cherokee
"6,017"
"1,959"
100%
Jefferson
"5,112"
"2,483"
100%
Dickinson
"5,905"
"1,582"
100%
Labette
"5,232"
"2,234"
100%
Geary
"4,116"
"2,569"
98%
Ford
"4,994"
"2,032"
100%
Osage
"4,713"
"1,730"
100%
Atchison
"3,977"
"1,946"
100%
Neosho
"4,340"
"1,464"
100%
Bourbon
"4,314"
"1,306"
100%
Jackson
"3,888"
"1,489"
100%
Marion
"3,928"
"1,177"
100%
Allen
"3,575"
"1,398"
100%
Nemaha
"4,066"
714
100%
Seward
"3,025"
"1,491"
100%
Marshall
"3,250"
"1,060"
100%
Linn
"3,377"
721
100%
Coffey
"2,990"
719
100%
Brown
"2,861"
850
100%
Cloud
"2,856"
744
100%
Pratt
"2,824"
769
100%
Clay
"2,831"
665
100%
Rice
"2,652"
668
100%
Thomas
"2,832"
467
100%
Wilson
"2,747"
550
100%
Doniphan
"2,601"
584
100%
Wabaunsee
"2,358"
773
100%
Kingman
"2,507"
594
100%
Anderson
"2,386"
665
100%
Russell
"2,544"
454
100%
Ottawa
"2,261"
424
100%
Mitchell
"2,216"
469
100%
Greenwood
"2,146"
484
100%
Washington
"2,136"
378
100%
Ellsworth
"1,933"
515
100%
Phillips
"2,200"
296
100%
Pawnee
"1,872"
567
100%
Morris
"1,790"
586
100%
Sherman
"2,043"
340
100%
Harper
"1,950"
388
100%
Republic
"1,993"
370
100%
Rooks
"1,999"
273
100%
Grant
"1,755"
427
100%
Barber
"1,822"
281
100%
Norton
"1,808"
277
100%
Scott
"1,832"
232
100%
Smith
"1,635"
295
100%
Gray
"1,651"
257
100%
Stafford
"1,485"
303
100%
Stevens
"1,564"
215
100%
Chautauqua
"1,552"
236
100%
Osborne
"1,437"
231
100%
Meade
"1,390"
206
100%
Jewell
"1,204"
180
100%
Rush
"1,177"
227
100%
Decatur
"1,220"
178
100%
Trego
"1,211"
193
100%
Lincoln
"1,168"
214
100%
Rawlins
"1,209"
160
100%
Ness
"1,216"
160
100%
Woodson
"1,063"
270
100%
Cheyenne
"1,172"
188
100%
Sheridan
"1,186"
126
100%
Logan
"1,124"
149
100%
Chase
964
313
100%
Gove
"1,127"
149
100%
Kearny
"1,048"
224
100%
Edwards
"1,033"
208
100%
Haskell
"1,011"
228
100%
Graham
"1,013"
185
100%
Elk
"1,048"
160
100%
Morton
970
145
100%
Kiowa
855
111
100%
Hodgeman
845
124
100%
Clark
813
118
100%
Wichita
765
139
100%
Comanche
705
102
100%
Hamilton
690
114
100%
Lane
684
104
100%
Wallace
711
45
100%
Stanton
580
132
100%
Greeley
523
83
100%
