Harris
"544,960"
"706,471"
100%
Dallas
"261,865"
"458,845"
100%
Tarrant
"345,683"
"288,001"
100%
Bexar
"240,161"
"319,191"
100%
Travis
"126,750"
"306,475"
100%
Collin
"200,395"
"139,837"
100%
Denton
"169,175"
"110,000"
98%
Fort Bend
"117,212"
"134,475"
100%
El Paso
"54,567"
"145,509"
100%
Montgomery
"150,188"
"45,744"
100%
Williamson
"104,029"
"84,252"
100%
Hidalgo
"48,608"
"118,739"
100%
Galveston
"73,566"
"45,503"
100%
Brazoria
"72,653"
"43,075"
100%
Nueces
"50,704"
"49,102"
100%
Lubbock
"65,566"
"27,956"
100%
Bell
"51,780"
"37,608"
100%
Cameron
"29,432"
"59,319"
100%
Jefferson
"42,828"
"42,404"
100%
Smith
"58,631"
"22,128"
100%
McLennan
"48,245"
"27,046"
100%
Hays
"33,730"
"33,117"
100%
Brazos
"38,662"
"23,041"
100%
Ellis
"44,807"
"16,197"
100%
Comal
"44,996"
"14,166"
100%
Johnson
"44,370"
"10,976"
100%
Guadalupe
"36,495"
"18,308"
100%
Webb
"12,946"
"42,297"
100%
Parker
"46,433"
"8,329"
100%
Randall
"43,379"
"8,340"
100%
Midland
"36,896"
"9,993"
100%
Grayson
"35,274"
"10,276"
100%
Taylor
"33,172"
"10,047"
100%
Gregg
"28,693"
"11,623"
100%
Kaufman
"29,537"
"10,265"
100%
Rockwall
"28,396"
"9,633"
100%
Tom Green
"27,376"
"9,117"
100%
Wichita
"27,609"
"8,752"
100%
Ector
"24,976"
"10,225"
100%
Bowie
"24,913"
"8,831"
100%
Polk
"26,587"
"7,123"
100%
Orange
"25,385"
"5,716"
100%
Hunt
"23,866"
"6,301"
100%
Victoria
"21,253"
"8,843"
100%
Angelina
"21,666"
"7,538"
100%
Henderson
"23,574"
"5,649"
100%
Potter
"19,499"
"7,620"
100%
Bastrop
"16,314"
"10,555"
100%
Harrison
"18,712"
"7,130"
100%
Hood
"21,367"
"4,001"
100%
Wise
"20,655"
"3,412"
100%
Liberty
"18,856"
"4,851"
100%
Kerr
"17,658"
"4,665"
100%
Hardin
"19,600"
"2,779"
100%
Nacogdoches
"14,751"
"6,822"
100%
Van Zandt
"18,436"
"2,792"
100%
San Patricio
"13,004"
"7,825"
100%
Kendall
"15,663"
"3,633"
100%
Walker
"12,878"
"6,085"
100%
Wilson
"13,991"
"4,790"
100%
Burnet
"14,595"
"3,785"
100%
Rusk
"14,675"
"3,935"
100%
Wood
"15,681"
"2,624"
100%
Lamar
"14,546"
"3,579"
100%
Coryell
"12,212"
"5,057"
100%
Medina
"12,054"
"4,624"
100%
Anderson
"13,165"
"3,358"
100%
Waller
"10,525"
"5,744"
100%
Cherokee
"12,896"
"3,466"
100%
Chambers
"13,278"
"2,939"
100%
Navarro
"11,984"
"3,998"
100%
Upshur
"13,198"
"2,378"
100%
Cooke
"13,174"
"2,345"
100%
Washington
"10,944"
"3,381"
100%
Wharton
"10,149"
"4,238"
100%
Brown
"12,010"
"1,621"
100%
Erath
"11,205"
"2,159"
100%
Atascosa
"8,598"
"4,635"
100%
Maverick
"2,816"
"10,397"
100%
Hopkins
"10,704"
"2,508"
100%
Val Verde
"5,856"
"6,920"
100%
Jasper
"10,578"
"2,582"
100%
Gillespie
"10,445"
"2,286"
100%
Hill
"10,075"
"2,535"
100%
Jim Wells
"5,411"
"6,688"
