Salt Lake
"91,375"
"126,702"
72%
Utah
"84,863"
"22,934"
100%
Davis
"41,250"
"20,206"
74%
Weber
"38,447"
"22,187"
100%
Washington
"33,472"
"8,369"
88%
Cache
"12,385"
"5,435"
60%
Tooele
"9,693"
"4,015"
94%
Box Elder
"10,324"
"1,814"
81%
Summit
"7,160"
"10,251"
100%
Iron
"4,090"
977
35%
Uintah
"9,745"
988
100%
Wasatch
"5,627"
"2,800"
100%
Sanpete
"6,436"
"1,026"
100%
Sevier
"6,146"
648
91%
Carbon
"5,055"
"1,673"
95%
Duchesne
"5,505"
500
100%
San Juan
"2,073"
"1,143"
65%
Millard
"3,845"
429
100%
Morgan
"3,156"
572
100%
Emery
"3,402"
379
92%
Grand
"1,924"
"1,920"
100%
Juab
"2,759"
436
94%
Kane
"2,248"
739
100%
Beaver
"1,838"
264
100%
Garfield
"1,577"
352
100%
Wayne
959
271
100%
Rich
786
104
100%
Piute
537
31
67%
Daggett
327
76
83%
