Oklahoma
"141,429"
"112,661"
100%
Tulsa
"143,985"
"87,663"
100%
Cleveland
"62,469"
"38,790"
100%
Canadian
"39,969"
"11,666"
100%
Rogers
"30,893"
"7,895"
100%
Comanche
"19,153"
"11,439"
100%
Wagoner
"22,967"
"6,711"
100%
Creek
"21,539"
"5,834"
100%
Payne
"16,644"
"8,785"
100%
Pottawatomie
"17,826"
"6,005"
100%
Muskogee
"15,029"
"7,969"
100%
Grady
"17,293"
"3,878"
100%
Washington
"15,810"
"5,047"
100%
Garfield
"15,998"
"4,391"
100%
Logan
"13,613"
"4,239"
100%
Osage
"12,559"
"5,593"
100%
Carter
"13,751"
"4,002"
100%
Stephens
"14,166"
"3,084"
100%
Pittsburg
"12,740"
"3,704"
100%
LeFlore
"13,346"
"3,245"
100%
McClain
"13,151"
"2,893"
100%
Kay
"12,168"
"3,734"
100%
Cherokee
"9,992"
"5,455"
100%
Mayes
"11,550"
"3,423"
100%
Delaware
"11,796"
"3,306"
100%
Pontotoc
"10,420"
"3,633"
100%
Sequoyah
"10,888"
"3,061"
100%
Lincoln
"10,838"
"2,423"
100%
Okmulgee
"8,926"
"4,379"
100%
Bryan
"10,449"
"2,793"
100%
McCurtain
"8,642"
"1,799"
100%
Ottawa
"7,627"
"2,584"
100%
Custer
"7,818"
"2,102"
100%
Garvin
"8,243"
"1,852"
100%
Caddo
"6,473"
"2,418"
100%
Seminole
"5,612"
"2,067"
100%
McIntosh
"5,501"
"2,122"
100%
Jackson
"5,969"
"1,473"
100%
Woodward
"6,329"
871
100%
Beckham
"6,287"
958
100%
Adair
"4,753"
"1,374"
100%
Pawnee
"4,716"
"1,341"
100%
Kingfisher
"5,151"
783
100%
Craig
"4,279"
"1,249"
100%
Texas
"4,615"
855
100%
Murray
"4,173"
"1,086"
100%
Marshall
"4,202"
"1,095"
100%
Choctaw
"4,202"
"1,064"
100%
Atoka
"4,068"
795
100%
Noble
"3,707"
901
100%
Haskell
"3,697"
882
100%
Washita
"3,851"
588
100%
Hughes
"3,387"
961
100%
Pushmataha
"3,581"
748
100%
Nowata
"3,321"
742
100%
Latimer
"3,094"
797
100%
Johnston
"3,081"
782
100%
Okfuskee
"2,791"
943
100%
Blaine
"2,884"
711
100%
Love
"2,920"
735
100%
Woods
"2,945"
521
100%
Kiowa
"2,593"
766
100%
Major
"2,940"
310
100%
Tillman
"1,944"
657
100%
Cotton
"2,054"
424
100%
Coal
"1,892"
411
100%
Jefferson
"1,905"
365
100%
Alfalfa
"1,931"
216
100%
Dewey
"1,964"
222
100%
Beaver
"1,987"
176
100%
Grant
"1,827"
287
100%
Greer
"1,482"
323
100%
Ellis
"1,610"
155
100%
Roger Mills
"1,546"
151
100%
Harper
"1,307"
131
100%
Cimarron
962
70
100%
Harmon
714
224
100%
