Stamford
"34,148"
"16,223"
100%
New Haven
"34,577"
"4,483"
100%
Bridgeport
"32,035"
"6,596"
100%
Norwalk
"24,229"
"12,288"
100%
Waterbury
"19,866"
"12,836"
100%
Fairfield
"17,859"
"12,024"
100%
Hartford
"27,425"
"2,276"
100%
West Hartford
"20,215"
"7,131"
100%
Greenwich
"16,253"
"11,096"
100%
Danbury
"15,668"
"11,393"
100%
Milford
"13,596"
"13,386"
100%
Hamden
"18,962"
"7,790"
100%
Bristol
"12,476"
"12,739"
100%
Stratford
"13,729"
"10,534"
100%
Manchester
"15,132"
"8,358"
100%
Southington
"9,890"
"12,383"
100%
Wallingford
"10,651"
"10,940"
100%
Meriden
"12,788"
"8,661"
100%
New Britain
"15,433"
"6,046"
100%
Middletown
"12,957"
"7,124"
100%
West Haven
"12,477"
"7,774"
100%
Shelton
"8,001"
"12,051"
100%
Trumbull
"9,292"
"9,744"
100%
Glastonbury
"11,049"
"7,531"
100%
East Hartford
"13,285"
"5,220"
100%
Enfield
"8,548"
"9,238"
100%
Windsor
"11,370"
"4,013"
100%
Newington
"8,393"
"6,547"
100%
Branford
"8,452"
"6,585"
100%
Groton
"8,439"
"5,929"
100%
Newtown
"7,395"
"7,130"
100%
Westport
"10,427"
"4,139"
100%
Torrington
"5,713"
"8,673"
100%
South Windsor
"7,717"
"6,449"
100%
Cheshire
"7,212"
"6,907"
100%
Farmington
"7,634"
"5,977"
100%
Ridgefield
"7,907"
"5,673"
100%
Wethersfield
"7,725"
"5,788"
100%
Simsbury
"7,825"
"5,357"
100%
New Milford
"6,136"
"6,863"
100%
Vernon
"7,084"
"5,666"
100%
Norwich
"7,453"
"5,217"
100%
North Haven
"5,735"
"7,197"
100%
Guilford
"7,864"
"4,929"
100%
Naugatuck
"5,219"
"7,310"
100%
East Haven
"5,491"
"6,992"
100%
Watertown
"3,732"
"7,730"
100%
Bloomfield
"9,637"
"1,683"
100%
Berlin
"4,913"
"6,210"
100%
Southbury
"5,013"
"6,010"
100%
Mansfield
"8,309"
"2,433"
100%
Darien
"5,942"
"4,625"
100%
East Lyme
"6,005"
"4,453"
100%
New Canaan
"5,767"
"4,541"
100%
Monroe
"4,520"
"5,922"
100%
Madison
"5,935"
"4,500"
100%
Waterford
"5,233"
"4,861"
100%
Avon
"5,616"
"4,382"
100%
Wilton
"6,055"
"3,783"
100%
Stonington
"5,635"
"4,081"
100%
Rocky Hill
"5,090"
"4,331"
100%
Bethel
"4,735"
"4,492"
100%
Colchester
"4,236"
"4,332"
100%
Wolcott
"2,573"
"6,190"
100%
Plainville
"3,802"
"4,492"
100%
New London
"6,305"
"1,924"
100%
Tolland
"4,020"
"3,908"
100%
Windham
"5,375"
"2,556"
100%
Orange
"3,834"
"4,221"
100%
